,incident_date
0,2007-01-28
1,2007-01-28
2,2007-01-28
3,2007-01-28
4,2007-01-29
5,2007-01-28
6,2007-01-27
7,2007-01-29
8,2007-01-28
9,2007-01-29
10,2007-01-29
11,2007-01-29
12,2007-01-29
13,2007-01-30
14,2007-01-29
15,2007-01-30
16,2007-01-30
17,2007-01-30
18,2007-01-30
19,2007-01-29
20,2007-01-29
21,2007-01-30
22,2007-01-30
23,2007-01-30
24,2007-01-30
25,2007-01-26
26,2007-01-30
27,2007-01-30
28,2007-01-30
29,2007-01-30
30,2007-01-30
31,2007-01-30
32,2007-01-30
33,2007-01-30
34,2007-01-30
35,2007-01-30
36,2007-01-30
37,2007-01-30
38,2007-01-31
39,2007-01-30
40,2007-01-31
41,2007-01-31
42,2007-01-30
43,2007-01-31
44,2007-01-30
45,2007-01-31
46,2007-01-31
47,2007-01-31
48,2007-01-31
49,2007-01-31
50,2007-01-31
51,2007-01-31
52,2007-01-31
53,2007-01-31
54,2007-01-01
55,2007-01-01
56,2007-01-01
57,2007-01-01
58,2007-01-01
59,2007-01-01
60,2007-01-21
61,2007-01-21
62,2007-01-22
63,2007-01-22
64,2007-01-22
65,2007-01-21
66,2007-01-21
67,2007-01-21
68,2007-01-22
69,2007-01-16
70,2007-01-08
71,2007-01-20
72,2007-01-22
73,2007-01-21
74,2007-01-22
75,2007-01-22
76,2007-01-23
77,2007-01-23
78,2007-01-23
79,2007-01-22
80,2007-01-23
81,2007-01-23
82,2007-01-23
83,2007-01-23
84,2007-01-22
85,2007-01-23
86,2007-01-19
87,2007-01-23
88,2007-01-23
89,2007-01-23
90,2007-01-24
91,2007-01-24
92,2007-01-24
93,2007-01-09
94,2007-01-24
95,2007-01-24
96,2007-01-22
97,2007-01-24
98,2007-01-24
99,2007-01-24
100,2007-01-24
101,2007-01-25
102,2007-01-25
103,2007-01-25
104,2007-01-25
105,2007-01-05
106,2007-01-22
107,2007-01-23
108,2007-01-25
109,2007-01-25
110,2007-01-25
111,2007-01-25
112,2007-01-25
113,2007-01-25
114,2007-01-26
115,2007-01-26
116,2007-01-26
117,2007-01-26
118,2007-01-26
119,2007-01-26
120,2007-01-26
121,2007-01-25
122,2007-01-26
123,2007-01-26
124,2007-01-23
125,2007-01-25
126,2007-01-26
127,2007-01-26
128,2007-01-26
129,2007-01-26
130,2007-01-26
131,2007-01-26
132,2007-01-26
133,2007-01-26
134,2007-01-26
135,2007-01-26
136,2007-01-26
137,2007-01-26
138,2007-01-26
139,2007-01-26
140,2007-01-26
141,2007-01-26
142,2007-01-20
143,2007-01-20
144,2007-01-20
145,2007-01-19
146,2007-01-20
147,2007-01-19
148,2007-01-20
149,2007-01-20
150,2007-01-19
151,2007-01-20
152,2007-01-20
153,2007-01-20
154,2007-01-20
155,2007-01-20
156,2007-01-20
157,2007-01-20
158,2007-01-20
159,2007-01-20
160,2007-01-20
161,2007-01-21
162,2007-01-21
163,2007-01-21
164,2007-01-21
165,2007-01-21
166,2007-01-20
167,2007-01-21
168,2007-01-21
169,2007-01-21
170,2007-01-21
171,2007-01-21
172,2007-01-21
173,2007-01-21
174,2007-01-21
175,2007-01-21
176,2007-01-21
177,2007-01-21
178,2007-01-21
179,2007-01-20
180,2007-01-20
181,2007-01-21
182,2007-01-18
183,2007-01-20
184,2007-01-20
185,2007-01-21
186,2007-01-21
187,2007-01-21
188,2007-01-15
189,2007-01-21
190,2007-01-21
191,2007-01-21
192,2007-01-21
193,2007-01-21
194,2007-01-13
195,2007-01-13
196,2007-01-13
197,2007-01-13
198,2007-01-12
199,2007-01-13
200,2007-01-13
201,2007-01-13
202,2007-01-13
203,2007-01-14
204,2007-01-14
205,2007-01-14
206,2007-01-16
207,2007-01-16
208,2007-01-16
209,2007-01-16
210,2007-01-17
211,2007-01-16
212,2007-01-16
213,2007-01-16
214,2007-01-17
215,2007-01-16
216,2007-01-17
217,2007-01-17
218,2007-01-01
219,2007-01-16
220,2007-01-16
221,2007-01-16
222,2007-01-16
223,2007-01-17
224,2007-01-17
225,2007-01-17
226,2007-01-12
227,2007-01-17
228,2007-01-17
229,2007-01-17
230,2007-01-18
231,2007-01-03
232,2007-01-18
233,2007-01-15
234,2007-01-17
235,2007-01-13
236,2007-01-14
237,2007-01-13
238,2007-01-14
239,2007-01-14
240,2007-01-02
241,2007-01-14
242,2007-01-13
243,2007-01-14
244,2007-01-14
245,2007-01-14
246,2007-01-14
247,2007-01-14
248,2007-01-14
249,2007-01-14
250,2007-01-15
251,2007-01-14
252,2007-01-15
253,2007-01-15
254,2007-01-15
255,2007-01-15
256,2007-01-15
257,2007-01-15
258,2007-01-15
259,2007-01-14
260,2007-01-15
261,2007-01-14
262,2007-01-14
263,2007-01-15
264,2007-01-15
265,2007-01-15
266,2007-01-15
267,2007-01-14
268,2007-01-15
269,2007-01-15
270,2007-01-14
271,2007-01-15
272,2007-01-15
273,2007-01-15
274,2007-01-13
275,2007-01-15
276,2007-01-14
277,2007-01-15
278,2007-01-15
279,2007-01-15
280,2007-01-14
281,2007-01-15
282,2007-01-15
283,2007-01-15
284,2007-01-15
285,2007-01-16
286,2007-01-16
287,2007-01-16
288,2007-01-16
289,2007-01-16
290,2007-01-16
291,2007-01-16
292,2007-01-16
293,2007-01-16
294,2007-01-16
295,2007-01-16
296,2007-01-16
297,2007-01-16
298,2007-01-16
299,2007-01-16
300,2007-01-16
301,2007-01-16
302,2007-01-16
303,2007-01-16
304,2007-01-16
305,2007-01-18
306,2007-01-08
307,2007-01-15
308,2007-01-18
309,2007-01-18
310,2007-01-18
311,2007-01-18
312,2007-01-19
313,2007-01-19
314,2007-01-19
315,2007-01-18
316,2007-01-19
317,2007-01-18
318,2007-01-17
319,2007-01-19
320,2007-01-19
321,2007-01-19
322,2007-01-14
323,2007-01-19
324,2007-01-19
325,2007-01-19
326,2007-01-19
327,2007-01-19
328,2007-01-19
329,2007-01-19
330,2007-01-19
331,2007-01-19
332,2007-01-19
333,2007-01-19
334,2007-01-19
335,2007-01-19
336,2007-01-19
337,2007-01-19
338,2007-01-19
339,2007-01-19
340,2007-01-19
341,2007-01-20
342,2007-01-20
343,2007-01-20
344,2007-01-20
345,2007-01-09
346,2007-01-10
347,2007-01-10
348,2007-01-10
349,2007-01-10
350,2007-01-09
351,2007-01-10
352,2007-01-10
353,2007-01-10
354,2007-01-02
355,2007-01-07
356,2007-01-09
357,2007-01-10
358,2007-01-10
359,2007-01-10
360,2007-01-04
361,2007-01-10
