agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
20479,VA1300000,VA1300000,Williamsburg Police Department,Williamsburg,1,City,,,11145,Williamsburg,51,VA,3032,Williamsburg City,51830,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,14915,5,"Cities from 10,000 thru 24,999",M,Y,N,12,12,10,,,,2016,37,3,23185,37.269524,-76.708165
20193,VA0470000,VA0470000,James City County Sheriff's Office,James City,2,County,,,,,51,VA,2966,James City,51095,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2014,1985,0,9D,"MSA counties under 10,000",L,Y,N,0,0,0,20194,VA0470100,James City County Police Department,1983,27,2,23185,37.324427,-76.778319
20225,VA056SP00,VA056SP00,State Police: Madison County,State Police: Madison County,4,State Police,,,,,51,VA,2977,Madison,51113,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,8,,,,2016,1,0,22701,38.412059,-78.276961
20487,VA1300900,VA1300900,Norfolk Airport Authority,Norfolk Airport Authority,5,Other,,,,,51,VA,3668,,,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1999,,2016,2013,2016,0,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,37,8,23518,36.923015,-76.244641
20466,VA1230000,VA1230000,Roanoke Police Department,Roanoke,1,City,,,11115,Roanoke,51,VA,3010,Roanoke City,51770,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,99827,3,"Cities from 50,000 thru 99,000",M,N,Y,12,12,10,,,,2016,245,47,24016,37.278458,-79.958174
20129,VA0290100,VA0290100,Fairfax County Police Department,Fairfax County Police Department,2,County,,,,,51,VA,2940,Fairfax,51059,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,1106066,9A,"MSA counties 100,000 or over",L,Y,N,12,12,10,,,,2016,1414,203,22030,38.833742,-77.276117
20070,VA0090000,VA0090000,Bath County Sheriff's Office,Bath,2,County,,,,,51,VA,2910,Bath,51017,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,4513,8D,"Non-MSA counties under 10,000",L,N,N,12,12,8,,,,2016,12,7,24484,38.068988,-79.732898
20202,VA050SP00,VA050SP00,State Police: King William County,State Police: King William County,4,State Police,,,,,51,VA,2969,King William,51101,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,9D,"MSA counties under 10,000",L,Y,N,12,12,3,,,,2016,1,0,23181,37.70826,-77.091054
20174,VA0410000,VA0410000,Halifax County Sheriff's Office,Halifax,2,County,,,,,51,VA,2957,Halifax,51083,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,25680,8B,"Non-MSA counties from 25,000 thru 99,999",L,N,N,12,12,10,,,,2016,31,7,24558,36.766461,-78.939614
20063,VA0060100,VA0060100,Appomattox Police Department,Appomattox,1,City,,,10991,Appomattox,51,VA,2907,Appomattox,51011,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1981,,2016,2014,1989,1752,7,"Cities under 2,500",L,Y,N,0,0,0,20062,VA0060000,Appomattox,1988,2,0,24522,37.370725,-78.81094
20277,VA072SP00,VA072SP00,State Police: Powhatan County,State Police: Powhatan County,4,State Police,,,,,51,VA,3000,Powhatan,51145,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,9D,"MSA counties under 10,000",L,Y,N,12,12,7,,,,2016,1,0,23139,37.549404,-77.912855
20400,VA0990000,VA0990000,Alexandria Police Department,Alexandria,1,City,,,10987,Alexandria,51,VA,2903,Alexandria City,51510,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,152710,2,"Cities from 100,000 thru 249,000",M,N,Y,12,12,10,,,,2016,317,92,22314,38.818343,-77.082026
20399,VA098SP00,VA098SP00,State Police: York County,State Police: York County,4,State Police,,,,,51,VA,3036,York,51199,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1971,,2016,2013,2016,0,9D,"MSA counties under 10,000",L,Y,N,12,12,10,,,,2016,1,0,23187,37.220914,-76.395533
20458,VA1210000,VA1210000,Radford Police Department,Radford,1,City,,,11110,Radford,51,VA,3005,Radford City,51750,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,17911,5,"Cities from 10,000 thru 24,999",M,N,Y,12,12,10,,,,2016,37,12,24141,37.120036,-80.557048
20099,VA018SP00,VA018SP00,State Police: Carroll County,State Police: Carroll County,4,State Police,,,,,51,VA,2922,Carroll,51035,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1973,,2016,2013,2016,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,10,,,,2016,1,0,24333,36.731951,-80.727838
20489,VA1310000,VA1310000,Winchester Police Department,Winchester,1,City,,,11146,Winchester,51,VA,3033,Winchester City,51840,A,23396,VAUCR0001,Virginia State Police Criminal Justice Information Services Division,VA,1960,,2016,2013,2016,27821,4,"Cities from 25,000 thru 49,999",M,N,Y,12,12,10,,,,2016,72,24,22601,39.173869,-78.176356
