,agency_name,agency_type_name,county_name,division_name,latitude,longitude,nibrs,nibrs_start_date,ori,region_desc,region_name,state_abbr,state_name
TX2390000,Washington County Sheriff's Office,County,WASHINGTON,West South Central,30.17912,-96.388176,False,04/01/2018,TX2390000,Region III,South,TX,Texas
TX0201700,Alvin Community College,University or College,BRAZORIA,West South Central,29.167817,-95.434647,False,,TX0201700,Region III,South,TX,Texas
TX0690000,Edwards County Sheriff's Office,County,EDWARDS,West South Central,29.985877,-100.307373,False,,TX0690000,Region III,South,TX,Texas
TX1011700,Seabrook Police Department,City,HARRIS,West South Central,29.564535,-95.02338,False,,TX1011700,Region III,South,TX,Texas
TX1660000,Milam County Sheriff's Office,County,MILAM,West South Central,30.85512,-96.98046,False,,TX1660000,Region III,South,TX,Texas
TX1580000,Marion County Sheriff's Office,County,MARION,West South Central,32.798182,-94.356853,False,,TX1580000,Region III,South,TX,Texas
TX2470000,Wilson County Sheriff's Office,County,WILSON,West South Central,29.173883,-98.086734,False,,TX2470000,Region III,South,TX,Texas
TX0612500,Double Oak Police Department,City,DENTON,West South Central,33.062622,-97.095955,True,01/01/2017,TX0612500,Region III,South,TX,Texas
TX0840200,Dickinson Police Department,City,GALVESTON,West South Central,29.462942,-95.05215,False,,TX0840200,Region III,South,TX,Texas
TX1017000,Independent School District: Spring Branch,Other,HARRIS,West South Central,29.798367,-95.51263,False,,TX1017000,Region III,South,TX,Texas
TX0202800,Surfside Beach Police Department,City,BRAZORIA,West South Central,28.944168,-95.297905,False,01/01/2018,TX0202800,Region III,South,TX,Texas
TX0290100,Point Comfort Police Department,City,CALHOUN,West South Central,28.445366,-96.5833,False,,TX0290100,Region III,South,TX,Texas
TX0680200,Odessa Police Department,City,MIDLAND; ECTOR,West South Central,31.845774,-102.36773,False,,TX0680200,Region III,South,TX,Texas
TX0450100,Columbus Police Department,City,COLORADO,West South Central,29.595991,-96.508433,False,,TX0450100,Region III,South,TX,Texas
TX1012800,Nassau Bay Police Department,City,HARRIS,West South Central,29.857273,-95.393037,False,,TX1012800,Region III,South,TX,Texas
TX2460200,Georgetown Police Department,City,WILLIAMSON,West South Central,30.636448,-97.680916,True,10/01/2003,TX2460200,Region III,South,TX,Texas
TX1810200,Orange Police Department,City,ORANGE,West South Central,30.120918,-93.893358,False,02/01/2018,TX1810200,Region III,South,TX,Texas
TX0313300,Indian Lake Police Department,City,CAMERON,West South Central,26.102923,-97.478958,False,,TX0313300,Region III,South,TX,Texas
TX1820000,Palo Pinto County Sheriff's Office,County,PALO PINTO,West South Central,32.75221,-98.317974,False,,TX1820000,Region III,South,TX,Texas
TX1090300,Itasca Police Department,City,HILL,West South Central,32.159992,-97.15036,False,,TX1090300,Region III,South,TX,Texas
TX0152200,Selma Police Department,City,COMAL; GUADALUPE; BEXAR,West South Central,29.448671,-98.520147,False,,TX0152200,Region III,South,TX,Texas
TX0110800,Independent School District:,Other,BASTROP,West South Central,,,False,,TX0110800,Region III,South,TX,Texas
TX2230100,Brownfield Police Department,City,TERRY,West South Central,33.171229,-102.339284,False,02/01/2018,TX2230100,Region III,South,TX,Texas
TX0431800,Murphy Police Department,City,COLLIN,West South Central,33.016426,-96.612785,True,01/01/2007,TX0431800,Region III,South,TX,Texas
TX1080500,Elsa Police Department,City,HIDALGO,West South Central,26.396384,-98.18099,False,,TX1080500,Region III,South,TX,Texas
TX0670400,Ranger Police Department,City,EASTLAND,West South Central,32.471584,-98.683,False,,TX0670400,Region III,South,TX,Texas
TX0611400,Aubrey Police Department,City,DENTON,West South Central,33.304184,-96.98627,False,,TX0611400,Region III,South,TX,Texas
TX1260100,Alvarado Police Department,City,JOHNSON,West South Central,32.40696,-97.21228,False,,TX1260100,Region III,South,TX,Texas
TX0850000,Garza County Sheriff's Office,County,GARZA,West South Central,33.198063,-101.382416,False,,TX0850000,Region III,South,TX,Texas
TX0575000,Hospital District: Dallas County,Other,DALLAS,West South Central,32.812763,-96.838455,False,,TX0575000,Region III,South,TX,Texas
TX0570800,Desoto Police Department,City,DALLAS,West South Central,32.766987,-96.778424,False,,TX0570800,Region III,South,TX,Texas
TX2050500,Taft Police Department,City,SAN PATRICIO,West South Central,27.981573,-97.39302,False,,TX2050500,Region III,South,TX,Texas
TX1431000,Moulton Police Department,City,LAVACA,West South Central,29.382578,-96.923633,False,,TX1431000,Region III,South,TX,Texas
TX1550800,Mart Police Department,City,LIMESTONE; MCLENNAN,West South Central,31.549493,-97.201472,False,,TX1550800,Region III,South,TX,Texas
TX1330500,Ingram Police Department,City,KERR,West South Central,30.07363,-99.23886,False,03/01/2018,TX1330500,Region III,South,TX,Texas
TX1030000,Hartley County Sheriff's Office,County,HARTLEY,West South Central,35.840244,-102.610047,False,,TX1030000,Region III,South,TX,Texas
TX1700800,Patton Village Police Department,City,MONTGOMERY,West South Central,30.299402,-95.504008,False,,TX1700800,Region III,South,TX,Texas
TX1070900,Caney City Police Department,City,HENDERSON,West South Central,32.211633,-95.853418,False,,TX1070900,Region III,South,TX,Texas
TX0270700,Granite Shoals Police Department,City,BURNET,West South Central,30.590641,-98.38533,False,,TX0270700,Region III,South,TX,Texas
TX0210200,College Station Police Department,City,BRAZOS,West South Central,30.656725,-96.302389,False,,TX0210200,Region III,South,TX,Texas
TX2120900,University of Texas: Tyler,University or College,SMITH,West South Central,32.31339,-95.244896,False,,TX2120900,Region III,South,TX,Texas
TX1500100,Llano Police Department,City,LLANO,West South Central,30.750307,-98.67835,False,01/01/1998,TX1500100,Region III,South,TX,Texas
TX1230700,Port Arthur Police Department,City,ORANGE; JEFFERSON,West South Central,29.854,-94.149331,False,,TX1230700,Region III,South,TX,Texas
TX1200000,Jackson County Sheriff's Office,County,JACKSON,West South Central,28.97839,-96.646736,True,07/01/2012,TX1200000,Region III,South,TX,Texas
TX2200900,Euless Police Department,City,TARRANT,West South Central,32.77204,-97.291291,False,,TX2200900,Region III,South,TX,Texas
TX1100400,South Plains College,University or College,HOCKLEY,West South Central,33.578476,-102.3678,False,,TX1100400,Region III,South,TX,Texas
TX0430500,McKinney Police Department,City,COLLIN,West South Central,33.194745,-96.579846,True,04/01/1997,TX0430500,Region III,South,TX,Texas
TX0140000,Bell County Sheriff's Office,County,BELL,West South Central,31.042303,-97.481374,False,,TX0140000,Region III,South,TX,Texas
TX2300300,Ore City Police Department,City,UPSHUR,West South Central,32.735349,-94.941184,False,,TX2300300,Region III,South,TX,Texas
TX0910400,Sherman Police Department,City,GRAYSON,West South Central,33.624508,-96.675699,False,,TX0910400,Region III,South,TX,Texas
TX0220000,Brewster County Sheriff's Office,County,BREWSTER,West South Central,29.434357,-95.24559,True,01/01/2015,TX0220000,Region III,South,TX,Texas
TX1020200,Marshall Police Department,City,HARRISON,West South Central,32.547991,-94.374434,False,,TX1020200,Region III,South,TX,Texas
TX0371200,Cuney Police Department,City,CHEROKEE,West South Central,31.843872,-95.156345,False,01/01/2018,TX0371200,Region III,South,TX,Texas
